"cisp";"mes";"ano";"aisp";"risp";"arma_fogo_arma_fabricacao_caseira";"arma_fogo_carabina";"arma_fogo_espingarda";"arma_fogo_fuzil";"arma_fogo_garrucha";"arma_fogo_garruchao";"arma_fogo_metralhadora";"arma_fogo_outros";"arma_fogo_pistola";"arma_fogo_revolver";"arma_fogo_submetralhadora";"arma_fogo_total";"arma_branca_total";"artefato_explosivo_armadilha_explosiva";"artefato_explosivo_armadilha_incendiaria";"artefato_explosivo_bomba_fabricacao_caseira";"artefato_explosivo_granada";"artefato_explosivo_material_belico_explosivo";"artefato_explosivo_material_explosivo";"artefato_explosivo_material_explosivo_caseiro";"artefato_explosivo_material_nao_identificado";"artefato_explosivo_total";"municao_total";"simulacro_airsoft";"simulacro_arma_fabricacao_caseira";"simulacro_carabina";"simulacro_espingarda";"simulacro_fuzil";"simulacro_garrucha";"simulacro_garruchao";"simulacro_metralhadora";"simulacro_outros";"simulacro_paintball";"simulacro_pistola";"simulacro_revolver";"simulacro_submetralhadora";"simulacro_total"
1;1;2007;5;1;0;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2007;5;1;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;2007;5;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;2007;5;1;0;0;0;0;0;0;0;1;4;1;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;2007;5;1;0;0;0;0;6;0;0;0;1;2;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
1;6;2007;5;1;0;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
1;7;2007;5;1;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2007;5;1;0;0;1;0;0;0;0;0;0;4;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;2007;5;1;0;0;0;0;0;0;0;0;3;1;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;2007;5;1;0;0;0;0;0;0;0;0;0;5;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;11;2007;5;1;0;0;0;0;0;0;0;0;2;2;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;12;2007;5;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;2007;5;1;0;1;1;0;0;0;0;0;3;7;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
4;2;2007;5;1;0;0;0;0;1;0;0;0;3;4;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
4;3;2007;5;1;0;0;1;0;1;0;0;0;4;5;0;11;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;2007;5;1;0;0;0;1;1;0;0;0;2;8;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
4;5;2007;5;1;0;0;0;0;1;0;0;0;3;5;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
4;6;2007;5;1;0;0;1;0;1;0;0;1;1;5;0;9;;;;;;;;;;;;;;;;;;;;;;;;;
4;7;2007;5;1;0;0;1;2;0;0;0;0;6;5;0;14;;;;;;;;;;;;;;;;;;;;;;;;;
4;8;2007;5;1;0;0;0;0;0;0;0;0;1;3;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
4;9;2007;5;1;0;0;0;0;0;0;0;0;2;4;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
4;10;2007;5;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
4;11;2007;5;1;0;0;0;0;0;0;0;0;3;1;0;4;;;;;;;;;;;;;;;;;;;;;;;;;
4;12;2007;5;1;0;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;2007;5;1;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
5;2;2007;5;1;0;0;0;0;0;0;0;0;2;4;0;6;;;;;;;;;;;;;;;;;;;;;;;;;
5;3;2007;5;1;0;0;0;0;1;0;0;0;1;3;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
5;4;2007;5;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;2007;5;1;0;0;0;0;0;0;0;0;0;3;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
5;6;2007;5;1;0;0;0;0;0;0;0;0;1;2;0;3;;;;;;;;;;;;;;;;;;;;;;;;;
5;7;2007;5;1;0;0;0;0;0;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
5;8;2007;5;1;0;0;0;0;0;0;0;0;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
5;9;2007;5;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
5;10;2007;5;1;0;0;1;0;0;0;0;1;2;4;0;8;;;;;;;;;;;;;;;;;;;;;;;;;
5;11;2007;5;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
5;12;2007;5;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;2007;4;1;0;0;0;2;0;0;2;0;4;2;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;2007;4;1;0;0;0;0;0;0;0;0;1;11;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
6;3;2007;4;1;1;1;0;0;0;0;0;0;2;6;0;10;;;;;;;;;;;;;;;;;;;;;;;;;
6;4;2007;4;1;0;0;0;8;0;0;1;0;5;4;0;18;;;;;;;;;;;;;;;;;;;;;;;;;
6;5;2007;4;1;0;1;5;0;0;0;0;0;4;2;0;12;;;;;;;;;;;;;;;;;;;;;;;;;
