ano;mes;risp;aisp;cisp;hom_doloso;lesao_corp_morte;latrocinio;morte_transito;suicidio;morte_esclarecer;tentat_hom;feminicidio;estupro;morte_intervencao;roubo_veiculo;roubo_carga;roubo_banco;furto_veiculo;trafico_drogas;pessoa_localizada;pessoa_desaparecida;arma_fogo_carabina;arma_fogo_espingarda;arma_fogo_fuzil;arma_fogo_metralhadora;arma_fogo_pistola;arma_fogo_revolver;arma_fogo_submetralhadora;arma_fogo_outras;pol_militares_mortos;pol_civis_mortos;fase
2015;1;1;5;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;5;0;1;0;0;0;0;0;1;0;0;0;0;Consolidado com errata
2015;1;1;5;4;3;0;0;5;1;1;10;0;1;1;7;3;0;4;34;2;7;0;0;0;0;2;0;0;0;0;0;Consolidado com errata
2015;1;1;5;5;1;0;0;0;0;0;1;0;1;1;5;4;0;8;116;2;1;0;0;0;0;1;2;0;0;0;0;Consolidado com errata
2015;1;1;4;6;4;0;0;0;0;7;13;0;1;1;9;0;0;4;15;3;2;0;0;0;0;7;1;0;0;1;0;Consolidado com errata
2015;1;1;5;7;0;0;0;0;0;2;7;0;1;0;12;0;0;15;14;0;0;0;0;0;0;1;1;0;0;0;0;Consolidado com errata
2015;1;1;2;9;0;0;0;0;0;6;1;0;1;0;14;1;1;25;15;2;5;0;0;0;0;1;1;0;0;0;0;Consolidado com errata
2015;1;1;2;10;2;0;1;0;0;1;1;0;1;0;4;1;0;25;24;2;3;0;0;0;0;2;0;1;0;0;0;Consolidado com errata
2015;1;1;23;11;2;0;0;0;0;1;8;0;1;0;0;0;0;4;7;0;4;0;0;0;0;2;0;0;0;0;0;Consolidado com errata
2015;1;1;19;12;1;0;0;0;0;1;5;0;4;0;0;1;0;4;41;7;7;0;0;0;0;4;5;0;0;0;0;Consolidado com errata
2015;1;1;19;13;1;0;0;0;1;2;2;0;0;0;3;0;0;3;15;6;0;0;0;0;0;1;0;0;0;0;0;Consolidado com errata
2015;1;1;23;14;0;0;0;0;0;1;1;0;1;0;3;3;0;9;15;0;0;0;0;0;0;0;0;0;0;0;0;Consolidado com errata
2015;1;1;23;15;1;0;0;4;0;3;0;0;1;0;1;0;0;6;8;2;1;0;0;0;0;0;0;0;0;0;0;Consolidado com errata
2015;1;2;31;16;2;0;0;2;0;4;7;0;3;0;15;2;0;30;5;3;10;0;0;0;0;3;5;0;0;0;0;Consolidado com errata
2015;1;1;4;17;4;0;0;4;1;7;8;0;2;1;15;20;0;12;24;2;6;0;0;0;0;4;2;0;0;0;0;Consolidado com errata
2015;1;1;4;18;0;0;0;4;0;0;5;0;0;0;10;0;0;4;7;0;1;0;0;0;0;0;2;0;0;0;0;Consolidado com errata
2015;1;1;6;19;1;0;0;2;0;8;10;0;2;0;7;3;0;13;11;1;5;0;0;0;0;0;2;0;0;0;0;Consolidado com errata
2015;1;1;6;20;2;0;0;0;0;1;17;0;2;0;13;7;0;11;27;3;9;0;0;0;0;1;3;0;2;0;0;Consolidado com errata
2015;1;1;22;21;6;0;0;3;0;8;2;0;7;0;34;18;0;31;63;4;11;0;0;0;0;1;2;0;0;0;0;Consolidado com errata
2015;1;1;16;22;2;0;0;2;0;4;13;0;2;0;33;24;0;18;22;0;3;0;0;0;0;5;2;0;1;0;0;Consolidado com errata
2015;1;1;3;23;0;0;0;1;1;3;0;0;1;0;38;4;0;9;2;4;5;0;0;0;0;0;0;0;0;0;0;Consolidado com errata
2015;1;1;3;24;1;0;0;0;0;3;2;0;1;0;27;8;0;5;6;1;4;0;0;0;0;8;1;0;0;0;0;Consolidado com errata
2015;1;1;3;25;1;0;0;1;0;10;7;0;4;0;19;4;0;10;42;1;4;0;0;1;0;0;2;0;0;0;0;Consolidado com errata
2015;1;1;3;26;2;0;0;0;0;5;30;0;0;1;35;2;0;11;6;6;4;0;0;0;0;2;1;0;0;0;0;Consolidado com errata
2015;1;2;41;27;6;0;0;4;0;8;1;0;1;0;112;13;0;23;7;4;2;0;0;11;0;7;0;0;0;0;0;Consolidado com errata
2015;1;2;9;28;3;0;0;0;0;9;4;0;0;0;61;4;0;12;1;3;6;0;0;1;0;4;2;0;0;0;0;Consolidado com errata
2015;1;2;9;29;8;0;0;0;1;7;4;0;3;2;64;8;1;11;12;3;4;0;0;2;0;5;2;0;0;0;0;Consolidado com errata
2015;1;2;9;30;2;0;0;0;0;1;10;0;3;1;49;8;0;10;6;2;3;0;0;0;0;11;5;0;0;0;0;Consolidado com errata
2015;1;2;41;31;5;0;0;2;1;14;3;0;4;4;101;27;0;13;9;1;5;0;1;1;0;10;3;0;0;0;0;Consolidado com errata
2015;1;2;18;32;11;0;0;1;0;21;19;0;12;0;27;6;1;29;29;6;21;0;1;0;0;8;3;0;0;1;0;Consolidado com errata
2015;1;2;14;33;6;0;0;1;0;14;1;0;10;0;110;19;0;22;15;2;7;0;0;0;0;3;3;0;0;0;0;Consolidado com errata
2015;1;2;14;34;10;0;0;1;0;13;10;0;14;4;127;42;1;51;58;3;17;1;0;6;0;13;9;0;0;0;0;Consolidado com errata
2015;1;2;40;35;7;0;0;4;2;26;8;0;16;0;64;27;0;37;6;6;27;0;2;0;0;6;7;0;1;1;0;Consolidado com errata
2015;1;2;27;36;15;0;0;0;4;20;2;0;7;4;23;9;0;14;11;5;28;0;0;1;0;8;2;0;0;0;0;Consolidado com errata
2015;1;1;17;37;3;0;0;0;0;9;2;0;7;0;15;4;0;17;5;1;6;0;0;5;0;1;0;0;0;0;0;Consolidado com errata
2015;1;1;16;38;5;0;0;1;0;6;1;0;4;2;68;32;0;26;22;2;4;2;0;0;0;8;1;0;0;0;0;Consolidado com errata
