"Cisp";"Ano";"Mês";"Titulo";"Casos"
"5";"2024";"6";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"7";"2023";"3";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"7";"2024";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"10";"2022";"10";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"13";"2023";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"16";"2024";"1";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"23";"2023";"10";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"24";"2022";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"24";"2024";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"25";"2022";"1";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"26";"2024";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"27";"2023";"7";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"28";"2023";"8";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"28";"2023";"10";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"29";"2024";"1";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"30";"2022";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"30";"2022";"11";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"31";"2022";"1";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"31";"2023";"11";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"31";"2024";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"32";"2024";"6";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"33";"2022";"10";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"33";"2024";"1";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"34";"2023";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"34";"2024";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"35";"2024";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"37";"2022";"11";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"37";"2023";"6";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"39";"2024";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"40";"2022";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"41";"2022";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"43";"2022";"9";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"43";"2023";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"43";"2023";"7";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"43";"2024";"6";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"44";"2022";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"50";"2022";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"50";"2023";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"52";"2023";"8";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";2
"52";"2023";"9";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"53";"2022";"6";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"53";"2023";"10";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"54";"2023";"8";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"56";"2023";"10";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"60";"2023";"11";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"63";"2023";"7";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"64";"2022";"1";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"65";"2023";"9";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"66";"2024";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"67";"2023";"12";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"74";"2023";"3";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"78";"2024";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"79";"2022";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"81";"2024";"6";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"82";"2023";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"82";"2024";"3";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";2
"100";"2024";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"105";"2023";"9";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"105";"2023";"10";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"105";"2024";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"110";"2024";"3";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"110";"2024";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"111";"2023";"6";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"122";"2023";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"123";"2023";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"124";"2023";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"124";"2024";"1";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"125";"2023";"2";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"126";"2023";"12";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"135";"2022";"4";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"135";"2023";"8";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"146";"2023";"3";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"148";"2024";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"165";"2024";"3";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
"166";"2022";"5";"Ultraje a Culto e Impedimento ou Perturbação de Ato a ele Relativo";1
